CIK,CompanyName,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Category
6201,AMERICAN AIRLINES GROUP INC,60580,60749,1884,NA,43249,29,472,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3197,CECO ENVIRONMENTAL CORP,392.582,214.022,6.23,-3.733,22.2,2.834,9.618,Manufacturing
706688,AARON'S INC,2826.692,1065.984,NA,NA,1532.762,0,55.994,Services
1800,ABBOTT LABORATORIES,67173,36451,-430,3303,7563,606,539,Manufacturing
2098,ACME UNITED CORP,109.477,57.145,1.929,3.602,14.543,0.619,0.933,Manufacturing
2178,ADAMS RESOURCES & ENERGY INC,278.87,132.272,NA,NA,44.623,0,0.509,Wholesale Trade
2488,ADVANCED MICRO DEVICES,4556,3290,114,214,348,-17,-9,Manufacturing
3146,ALABAMA GAS CORP,1616.2,807.5,NA,NA,1134.1,NA,81.6,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3153,ALABAMA POWER CO,26730,18962,NA,NA,21851,NA,291,"Transportation, Communications, Electric, Gas, And Sanitary Services"
766421,ALASKA AIR GROUP INC,10912,7161,NA,NA,6781,0,148,"Transportation, Communications, Electric, Gas, And Sanitary Services"
701288,ATRION CORP,231.216,20.449,NA,NA,74.893,0,7.781,Manufacturing
3453,MATSON INC,2430.4,1675.1,NA,NA,1366.6,0,38.7,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3499,ALEXANDER'S INC,1481.257,1196.165,NA,NA,0,NA,0.004,"Finance, Insurance, And Real Estate"
773840,HONEYWELL INTERNATIONAL INC,57773,39408,2919,4568,5296,1177,659,Public Administration
4127,SKYWORKS SOLUTIONS INC,4828.9,731.9,712.2,619.9,1140.9,31.2,413.7,Manufacturing
4447,HESS CORP,21433,10545,-219,439,16083,455,335,Mining
4515,AMERICAN AIRLINES INC,70878,59108,NA,NA,42894,28,534,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4457,AMERCO,11891.713,8199.324,466.175,11.354,7933.971,1.375,106.672,Services
771497,ABM INDUSTRIES INC,3627.5,2172.9,94.8,-7.1,140.1,3.9,-8.2,Services
1475922,PRIMERICA INC,12595.048,11133.535,337.914,78.17,35.996,36.028,91.99,"Finance, Insurance, And Real Estate"
742126,US ECOLOGY INC,947.898,588.681,46.147,18.711,258.443,4.746,15.263,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4904,AMERICAN ELECTRIC POWER CO,68802.8,49634.6,NA,NA,55099.1,NA,115.3,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4962,AMERICAN EXPRESS CO,188602,166312,6696,1426,4416,681,1201,"Finance, Insurance, And Real Estate"
4977,AFLAC INC,140406,116944,NA,NA,443,771,1063,"Finance, Insurance, And Real Estate"
5272,AMERICAN INTERNATIONAL GROUP,491984,434675,-12,269,2172,202,154,"Finance, Insurance, And Real Estate"
904163,AMERICAN NATIONAL INSURANCE,26912.353,21640.838,NA,NA,109.472,0,1.445,"Finance, Insurance, And Real Estate"
1102238,AMERICAN REALTY INVESTORS,826.149,505.022,NA,NA,381.043,0,1.21,"Finance, Insurance, And Real Estate"
713425,AMERICAN SOFTWARE  -CL A,161.31,46.703,NA,NA,3.585,NA,0.838,Services
5981,AMERICAN VANGUARD CORP,593.587,264.357,26.124,7.472,49.252,2.121,9.145,Manufacturing
1037868,AMETEK INC,8662.288,4420.366,555.077,432.668,554.13,51.686,209.812,Manufacturing
318154,AMGEN INC,66416,53916,4856,4689,4958,227,1151,Manufacturing
6176,AMPCO-PITTSBURGH CORP,571.119,478.15,-48.169,4.362,185.661,0.839,0.268,Manufacturing
6281,ANALOG DEVICES,20449.779,9461.239,590.19,1048.327,1154.328,47.633,143.085,Manufacturing
6494,ANDREA ELECTRONICS CORP,1.519,1.951,-0.956,0.013,0.055,0.002,0.002,Manufacturing
821026,ANDERSONS INC,2392.003,1515.239,46.678,6.478,998.496,1.138,11.931,Wholesale Trade
1163739,NABORS INDUSTRIES LTD,7853.944,4698.757,-119.419,-399.375,5467.87,32.928,79.269,Mining
6769,APACHE CORP,21582,12770,-723,1681,18421,895,672,Mining
6845,APOGEE ENTERPRISES INC,1068.168,571.851,60.042,-1.38,315.823,-0.459,12.968,Manufacturing
6879,APPALACHIAN POWER,12290.5,8284.4,NA,NA,10668.3,NA,-44.9,"Transportation, Communications, Electric, Gas, And Sanitary Services"
320193,APPLE INC,365725,258578,24903,48000,41304,3986,13372,Manufacturing
6951,APPLIED MATERIALS INC,17773,10934,439,4255,1407,126,1381,Manufacturing
6955,ACTUANT CORP  -CL A,1481.338,922.626,-11.325,-1.347,90.22,12.532,8.976,Manufacturing
352991,ADVANCED OXYGEN TECHNOLOGY,0.688,0.38,NA,NA,0.633,0.008,0.008,"Finance, Insurance, And Real Estate"
7084,ARCHER-DANIELS-MIDLAND CO,40833,21788,972,1088,9953,171,245,Manufacturing
894405,ARCBEST CORP,1539.231,821.549,84.386,NA,631.188,2.238,17.124,"Transportation, Communications, Electric, Gas, And Sanitary Services"
7323,ENTERGY ARKANSAS,10401.596,7418.493,NA,NA,7210.556,NA,-297.067,"Transportation, Communications, Electric, Gas, And Sanitary Services"
7536,ARROW ELECTRONICS INC,17784.445,12408.079,186.677,722.696,824.7,178.767,187.799,Wholesale Trade
1674862,ASHLAND GLOBAL HOLDINGS INC,8252,4846,-163,277,1899,78,9,Manufacturing
8146,ASTRONOVA INC,118.983,49.208,6.859,0.449,10.38,0.952,1.578,Manufacturing
8063,ASTRONICS CORP,774.64,388.015,44.982,7.3,120.862,1.123,5.479,Manufacturing
1004155,SOUTHERN CO GAS,21448,12878,NA,NA,11357,NA,464,"Transportation, Communications, Electric, Gas, And Sanitary Services"
744187,REX AMERICAN RESOURCES CORP,471.393,26.122,NA,NA,182.521,0,-22.922,Manufacturing
769397,AUTODESK INC,4729.2,4940.1,-224.1,181.4,149.7,65.3,38.1,Services
8670,AUTOMATIC DATA PROCESSING,37088.7,33629.1,1849.8,321.3,793.7,105.5,550.3,Services
8818,AVERY DENNISON CORP,5177.5,4222.4,-7.3,562.1,1137.4,134.3,85.4,Manufacturing
8858,AVNET INC,9596.845,4911.764,-385.1,530.177,522.909,104.156,287.966,Wholesale Trade
8868,AVON PRODUCTS,3010,3414.7,39.3,68.8,570.2,182.3,129.9,Manufacturing
8947,AZZ INC,1088.57,484.842,48.261,14.744,256.097,2.829,11.797,Manufacturing
9092,BADGER METER INC,392.691,89.188,31.584,4.268,90.321,1.468,8.062,Manufacturing
9326,BALCHEM CORP  -CL B,981.355,289.737,NA,NA,194.339,4.06,20.457,Manufacturing
9346,PROTECTIVE INSURANCE CORP,1490.131,1134.049,NA,NA,46.645,0,-9.797,"Finance, Insurance, And Real Estate"
9389,BALL CORP,16554,12992,193,440,4542,115,185,Manufacturing
763901,POPULAR INC,47604.577,42169.52,NA,NA,569.808,NA,119.579,"Finance, Insurance, And Real Estate"
46195,BANK OF HAWAII CORP,17143.974,15875.774,NA,NA,151.837,NA,50.624,"Finance, Insurance, And Real Estate"
1390777,BANK OF NEW YORK MELLON CORP,362873,322005,NA,NA,1832,NA,938,"Finance, Insurance, And Real Estate"
9984,BARNES GROUP INC,2808.97,1605.914,-10.719,218.214,370.531,57.871,41.309,Manufacturing
10048,BARNWELL INDUSTRIES,31.378,15.139,-2.449,0.078,16.461,-0.56,-0.601,Mining
10456,BAXTER INTERNATIONAL INC,15641,7825,16,1677,4542,310,63,Manufacturing
109563,APPLIED INDUSTRIAL TECH INC,2285.741,1470.778,186.874,17.844,121.343,5.309,63.093,Wholesale Trade
10795,BECTON DICKINSON & CO,53904,32910,-135,1308,5375,386,862,Manufacturing
729580,BEL FUSE INC,443.524,267.054,0.3,23.316,43.932,3.782,2.907,Manufacturing
732712,VERIZON COMMUNICATIONS INC,264829,210119,19801,-178,89286,267,3584,"Transportation, Communications, Electric, Gas, And Sanitary Services"
11199,BEMIS CO INC,3571,2355.1,201.7,84,1250.3,22.3,60,Manufacturing
1067983,BERKSHIRE HATHAWAY,707794,355294,NA,NA,166706,1117,-321,Public Administration
764478,BEST BUY CO INC,12901,9595,1574,314,2510,64,424,Retail Trade
12208,BIO-RAD LABORATORIES INC,5611.068,1590.737,363.359,149.3,508.69,30.545,147.045,Manufacturing
720762,NON INVASIVE MONITOR,0.11,3.788,NA,NA,0,0,0,Manufacturing
1130464,BLACK HILLS CORP,6963.327,4675.904,NA,NA,4854.879,NA,-23.667,"Transportation, Communications, Electric, Gas, And Sanitary Services"
12659,BLOCK H & R INC,3299.945,2758.418,389.319,155.841,212.092,6.711,99.904,Services
314808,ENSCO ROWAN PLC,14023.7,5934.9,NA,NA,12616.2,NA,89.6,Mining
12927,BOEING CO,117359,116949,11166,438,12645,169,1144,Manufacturing
315213,ROBERT HALF INTL INC,1903.097,839.899,485.489,106.113,125.176,35.007,157.314,Services
13239,HEXION INC,1961,4875,-195,69,841,26,40,Manufacturing
1393066,RESOLUTE FOREST PRODUCTS INC,3935,2400,-90,477,1515,-12,152,Manufacturing
746598,BRADY CORP,1056.931,304.819,48.903,103.112,97.945,26.593,60.955,Manufacturing
14177,BRIDGFORD FOODS CORP,101.494,35.814,NA,NA,32.638,0,6.296,Manufacturing
14195,BRIGGS & STRATTON,1443.966,873.542,-5.35,16.451,422.08,3.556,22.421,Manufacturing
14272,BRISTOL-MYERS SQUIBB CO,34986,20859,2338,3630,5027,450,1021,Manufacturing
14693,BROWN FORMAN CORP,5139,3492,863,179,816,34,207,Manufacturing
14707,CALERES INC,1838.568,1203.133,40,-45.754,230.784,-7.243,-0.273,Manufacturing
14930,BRUNSWICK CORP,4285.7,2703.1,227.5,94.7,805.3,29.1,59.1,Manufacturing
1104657,MATERION CORP,800.341,246.435,20.272,-3.93,251.018,2.71,-4.504,Manufacturing
15615,MASTEC INC,4439.953,3047.929,341.103,24.2,747.808,9.4,106.072,Construction
746838,UNISYS CORP,2457.6,3757.2,-53.6,196.8,121.3,51.4,64.3,Services
733269,LIVERAMP HOLDINGS INC,1472.911,142.079,-174.867,-4.489,26.043,0.323,-45.409,Services
1739940,CIGNA CORP,153226,112154,NA,NA,4562,185,935,"Finance, Insurance, And Real Estate"
20629,CSS INDUSTRIES INC,285.595,95.664,-48.233,2.792,50.92,1.425,8.104,Manufacturing
21175,CNA FINANCIAL CORP,57152,45935,942,22,324,5,151,"Finance, Insurance, And Real Estate"
356037,CSP INC,55.275,21.473,-1.077,-0.029,0.847,0,0.882,Services
26058,CTS CORP,548.341,170.412,30.815,27.288,99.401,12.538,11.571,Manufacturing
320121,TELOS CORP/MD,74.489,206.592,NA,NA,17.426,0,0.031,Services
16040,CABOT CORP,3244,1965,-229,346,1296,88,193,Manufacturing
1035201,CALIFORNIA WATER SERVICE GP,2837.704,2107.547,81.456,0,2220.873,0,15.872,"Transportation, Communications, Electric, Gas, And Sanitary Services"
16732,CAMPBELL SOUP CO,14529,13156,143,129,3233,47,11,Manufacturing
16875,CANADIAN PACIFIC RAILWAY LTD,21254,14618,1788,800,18418,45,637,"Transportation, Communications, Electric, Gas, And Sanitary Services"
16918,CONSTELLATION BRANDS,29231.5,16394.3,1615.9,2529.1,5267.3,239.2,685.9,Manufacturing
202947,CAPITAL PROPERTIES INC,8.527,1.454,NA,NA,6.951,0,0.192,"Finance, Insurance, And Real Estate"
721371,CARDINAL HEALTH INC,39951,33880,391,-619,2487,143,-487,Wholesale Trade
790051,CARLISLE COS INC,5249.2,2651.8,352.2,93.7,760.1,25.9,87.3,Manufacturing
1094093,PROGRESS ENERGY INC,52664,38407,NA,NA,34224,NA,218,"Transportation, Communications, Electric, Gas, And Sanitary Services"
17843,CARPENTER TECHNOLOGY CORP,3007,1521.1,140.3,19.9,1313.4,6.7,-28.3,Manufacturing
18172,CASTLE (A M) & CO,330.392,339.753,-48.194,6.27,53.2,1.986,-4.779,Wholesale Trade
18230,CATERPILLAR INC,78509,64429,2131,5691,13574,1291,1698,Manufacturing
18255,CATO CORP  -CL A,497.906,181.07,NA,NA,94.304,1.371,2.59,Retail Trade
740664,R F INDUSTRIES LTD,32.502,4.719,NA,NA,0.559,0,1.468,Manufacturing
18926,CENTURYLINK INC,70256,50428,NA,NA,26408,36,170,"Transportation, Communications, Electric, Gas, And Sanitary Services"
19411,MAGELLAN HEALTH INC,2979.056,1693.753,NA,NA,150.748,0,19.013,Services
19446,CANTEL MEDICAL CORP,963.708,354.841,115.697,1.816,111.417,4.626,26.472,Manufacturing
19617,JPMORGAN CHASE & CO,2622532,2366017,NA,NA,14934,NA,8290,"Finance, Insurance, And Real Estate"
19745,CHESAPEAKE UTILITIES CORP,1693.671,1175.232,NA,NA,1383.972,NA,20.994,"Transportation, Communications, Electric, Gas, And Sanitary Services"
749647,CELSION CORP,46.856,25.995,NA,NA,0.185,0,-10.419,Manufacturing
93410,CHEVRON CORP,253863,98221,4730,15845,169207,4662,5715,Manufacturing
313927,CHURCH & DWIGHT INC,6069.2,3615.4,671.8,47.7,598.2,13,150.9,Manufacturing
20212,CHURCHILL DOWNS INC,1725.2,1251.9,234.2,-0.3,757.5,0,51.3,Services
716133,CINCINNATI BELL INC,2730.2,2805.2,NA,NA,1844,1.6,9.4,"Transportation, Communications, Electric, Gas, And Sanitary Services"
20290,DUKE ENERGY OHIO INC,8555,5110,NA,NA,6643,NA,43,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1400891,IHEARTMEDIA INC,12269.515,23829.857,-134.893,-21.395,1791.14,18.535,46.351,"Transportation, Communications, Electric, Gas, And Sanitary Services"
764065,CLEVELAND-CLIFFS INC,3529.6,3105.4,565,-0.3,1286,0.7,-475.2,Mining
21076,CLOROX CO/DE,5060,4334,963,91,996,43,231,Manufacturing
317540,COCA COLA CONSOLIDATED INC,3009.928,2554.762,NA,NA,1014.252,0,1.869,Manufacturing
21344,COCA-COLA CO,83216,64158,888,7462,8232,1337,1623,Manufacturing
215466,COEUR MINING INC,1712.5,859.988,-50.522,-15.213,1270.018,25.576,-16.78,Mining
21510,COHERENT INC,2259.969,945.505,65.272,296.283,311.793,107.487,114.195,Manufacturing
21665,COLGATE-PALMOLIVE CO,12161,11964,1175,2289,3881,658,906,Manufacturing
830524,CHASE CORP,316.469,69.713,48.962,8.003,32.845,1.761,13.822,Manufacturing
315293,AON PLC,26422,22203,-240,1486,588,350,146,"Finance, Insurance, And Real Estate"
1166691,COMCAST CORP,251684,177866,NA,NA,44437,425,3380,"Transportation, Communications, Electric, Gas, And Sanitary Services"
28412,COMERICA INC,70818,63311,NA,NA,475,NA,300,"Finance, Insurance, And Real Estate"
22356,COMMERCE BANCSHARES INC,25463.842,22526.693,NA,NA,333.119,NA,105.949,"Finance, Insurance, And Real Estate"
831001,CITIGROUP INC,1917383,1720309,7345,16100,NA,4290,5357,"Finance, Insurance, And Real Estate"
22444,COMMERCIAL METALS,3328.304,1834.721,86.731,78.653,1075.038,NA,30.147,Manufacturing
22701,COMMUNICATIONS SYSTEMS INC,53.321,11.668,NA,NA,10.962,0.249,0.405,Manufacturing
723612,AVIS BUDGET GROUP INC,19149,18735,114,153,12210,59,102,Services
1688568,DXC TECHNOLOGY CO,29574,17849,511,1004,3179,218,288,Services
23111,COMPUTER TASK GROUP INC,124.121,59.893,-1.119,3.388,5.656,1.937,5.086,Services
23197,COMTECH TELECOMMUN,845.157,339.473,22.243,2.383,28.987,0.429,-5.143,Manufacturing
23217,CONAGRA BRANDS INC,22213.8,14750.1,NA,NA,2395.3,NA,218.8,Manufacturing
718332,RAVE RESTAURANT GROUP INC,10.986,4.687,NA,NA,1.51,0.051,-3.322,"Finance, Insurance, And Real Estate"
1549346,SHUTTERSTOCK INC,531.488,244.821,68.596,-2.483,76.188,5.226,11.426,Services
23426,CONNECTICUT LIGHT & POWER CO,11409.719,7094.202,NA,NA,8909.701,NA,129.056,"Transportation, Communications, Electric, Gas, And Sanitary Services"
276209,CONNECTICUT WATER SVC INC,951.869,657.733,NA,NA,739.793,0,-2.182,"Transportation, Communications, Electric, Gas, And Sanitary Services"
733590,TRANSCONTINENTAL RLTY INVS,862.38,481.979,NA,NA,0,0,3.21,"Finance, Insurance, And Real Estate"
1726173,BIGLARI HOLDINGS INC,1029.493,459.038,21.7,-4.945,274.716,0,-2.637,Retail Trade
23795,CONSOLIDATED TOMOKA LAND CO,556.33,344.569,NA,NA,368.751,0,14.163,"Finance, Insurance, And Real Estate"
811156,CMS ENERGY CORP,24529,19737,NA,NA,18126,NA,115,"Transportation, Communications, Electric, Gas, And Sanitary Services"
24104,CONTINENTAL MATERIALS CORP,75.703,26.927,NA,NA,17.171,0,-2.185,Manufacturing
711404,COOPER COS INC (THE),6112.8,2805,-122.8,454.7,976,23,192,Manufacturing
24545,MOLSON COORS BREWING CO,30109.8,16374,1320.4,39.4,4608.3,38.7,225.2,Manufacturing
24741,CORNING INC,27505,13619,472,1031,14895,196,437,Manufacturing
25232,COUSINS PROPERTIES INC,4146.296,1325.14,NA,NA,NA,0,0,"Finance, Insurance, And Real Estate"
1067294,CRACKER BARREL OLD CTRY STOR,1527.355,945.574,NA,NA,1149.135,0,30.803,Retail Trade
25445,CRANE CO,4042.7,2515.6,296.4,115,599.1,14,75.9,Manufacturing
25475,CRAWFORD & CO,701.442,520.496,4.634,39.497,34.303,9.53,18.542,"Finance, Insurance, And Real Estate"
1584207,ONEMAIN HOLDINGS INC,20090,16291,610,14,133,3,177,"Finance, Insurance, And Real Estate"
1219601,CROWN HOLDINGS INC,15262,13976,21,719,3745,NA,216,Manufacturing
26076,CUBIC CORP,1304.883,580.687,-51.049,65.935,117.546,19.882,7.093,Manufacturing
39263,CULLEN/FROST BANKERS INC,32292.966,28924.049,NA,NA,552.33,NA,53.763,"Finance, Insurance, And Real Estate"
723603,CULP INC,219.726,55.479,NA,NA,48.389,NA,6.424,Manufacturing
26172,CUMMINS INC,19062,10803,1239,1514,4096,348,566,Manufacturing
26324,CURTISS-WRIGHT CORP,3255.385,1724.604,217.374,138.865,374.66,25.285,80.49,Manufacturing
30697,WENDY'S CO,4292.035,3643.586,560.776,14.14,1213.236,9.63,114.801,Retail Trade
313616,DANAHER CORP,47832.5,19605.8,914.2,2378.6,2511.2,494.3,641.9,Manufacturing
277638,DAVEY TREE EXPERT CO,526.623,364.213,37.377,0.119,202.285,0.05,9.519,Services
315189,DEERE & CO,70108,58802.8,2275,1796,13032.9,392,1726.9,Manufacturing
27904,DELTA AIR LINES INC,60266,46579,NA,NA,34329,13,1216,"Transportation, Communications, Electric, Gas, And Sanitary Services"
936340,DTE ENERGY CO,36288,25571,NA,NA,21650,NA,98,"Transportation, Communications, Electric, Gas, And Sanitary Services"
730464,ADTALEM GLOBAL EDUCATION INC,2344.961,816.565,63.353,135.192,388.654,7.831,84.102,Services
939930,PYXUS INTERNATIONAL INC,1859.275,1667.256,-86.315,43.398,276.396,22.741,37.84,Wholesale Trade
28823,DIEBOLD NIXDORF INC,4311.9,4341.1,-300.9,-214.7,304.1,49,37.2,Manufacturing
722313,NORTECH SYSTEMS INC,59.96,38.87,-1.09,1.582,10.178,0.334,0.326,Manufacturing
28917,DILLARDS INC  -CL A,3431.369,1752.988,NA,NA,1586.733,0,37.73,Retail Trade
29002,DIODES INC,1526.371,548.939,-24.141,174.103,446.835,42.726,44.556,Manufacturing
1744489,DISNEY (WALT) CO,98598,44643,12914,1815,29540,642,1663,"Transportation, Communications, Electric, Gas, And Sanitary Services"
29332,DIXIE GROUP INC,252.778,193.794,NA,NA,84.111,0,-0.831,Manufacturing
29534,DOLLAR GENERAL CORP,13204.038,6786.645,NA,NA,2970.806,0.159,425.944,Retail Trade
715957,DOMINION ENERGY INC,77914,55866,NA,NA,54560,NA,580,"Transportation, Communications, Electric, Gas, And Sanitary Services"
29644,DONALDSON CO INC,1976.6,1118.8,103.2,260.4,509.3,71,183.3,Manufacturing
29669,DONNELLEY (R R) & SONS CO,3640.8,3886.2,-56.4,84.7,531.3,24.5,37.9,Manufacturing
29905,DOVER CORP,8365.771,5597.105,344.793,380.585,806.497,86.523,134.233,Manufacturing
1666700,DUPONT  DE NEMOURS INC,188030,91851,230,5263,35848,1970,1489,Manufacturing
29989,OMNICOM GROUP,24617,21265.8,643.7,1280.6,694.4,305.2,492.7,Services
1498301,ASCENA RETAIL GROUP INC,3570.5,2772,-115.1,33.6,1205.3,5.5,-41.8,Retail Trade
30305,DUCOMMUN INC,648.143,391.318,10.271,NA,107.045,0,1.236,Manufacturing
1326160,DUKE ENERGY CORP,145392,101558,NA,NA,91694,NA,448,"Transportation, Communications, Electric, Gas, And Sanitary Services"
30625,FLOWSERVE CORP,4616.277,2955.497,88.674,87.6,610.096,36.897,51.224,Manufacturing
67215,DYCOM INDUSTRIES INC,2097.503,1293.335,NA,NA,424.751,2.204,25.131,Construction
30831,DYNASIL CORP OF AMERICA,31.532,9.204,-0.067,0.049,8.098,-0.032,-1.608,Manufacturing
31791,PERKINELMER INC,5975.522,3390.567,32.627,225.056,318.59,61.028,20.208,Manufacturing
31107,EASTERN CO,181.248,84.379,12.432,5.158,29.853,0.754,3.084,Manufacturing
31235,EASTMAN KODAK CO,1511,1341,-46,33,246,4,-4,Manufacturing
1551182,EATON CORP PLC,31092,14950,-365,2789,3467,370,278,Manufacturing
350797,EATON VANCE CORP,3599.328,2155.8,NA,NA,52.428,0,156.703,"Finance, Insurance, And Real Estate"
31462,ECOLAB INC,20074.5,12020.9,728.3,1076.3,3836,175.7,364.3,Manufacturing
32604,EMERSON ELECTRIC CO,20390,11400,1652,1015,3562,300,443,Manufacturing
1603923,WEATHERFORD INTL PLC,6601,10267,NA,NA,2086,NA,34,Mining
731802,ATMOS ENERGY CORP,11874.437,7104.486,NA,NA,10371.147,NA,8.08,"Transportation, Communications, Electric, Gas, And Sanitary Services"
33002,ENNIS INC,363.085,73.958,NA,NA,53.134,0,12.497,Manufacturing
727510,ENZON PHARMACEUTICALS INC,15.51,0.517,NA,NA,0,NA,0.006,Manufacturing
33185,EQUIFAX INC,7153.2,3997.5,339.6,16.7,764.8,31.5,50,Services
33213,EQT CORP,20721.344,9763.115,NA,NA,17392.507,NA,-696.511,"Transportation, Communications, Electric, Gas, And Sanitary Services"
33488,ESCALADE INC,149.527,21.206,NA,NA,15.498,0,6,Manufacturing
1282637,NEWMARKET CORP,1697.274,1207.367,157.459,132.826,644.138,27.192,55.551,Manufacturing
746515,EXPEDITORS INTL WASH INC,3314.559,1326.839,313.178,505.151,504.105,151.312,198.539,"Transportation, Communications, Electric, Gas, And Sanitary Services"
34067,DMC GLOBAL INC,240.418,106.132,9.399,25.208,95.14,6.972,4.134,Manufacturing
34088,EXXON MOBIL CORP,346196,147668,5200,25753,247101,9460,9532,Manufacturing
37785,FMC CORP,9974.3,6763.9,-214.5,958.2,1032.6,112.5,88.8,Manufacturing
753308,NEXTERA ENERGY INC,103702,65821,NA,NA,70334,NA,1576,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1048911,FEDEX CORP,54403,36646,NA,NA,30429,NA,115,"Transportation, Communications, Electric, Gas, And Sanitary Services"
34903,FEDERAL REALTY INVESTMENT TR,6289.644,3686.106,NA,NA,NA,0,0,"Finance, Insurance, And Real Estate"
277509,FEDERAL SIGNAL CORP,1023.8,493.7,100.6,11,158.6,-0.1,17.9,Manufacturing
794367,MACY'S INC,19194,12758,NA,NA,6637,0,322,Retail Trade
35214,FERRO CORP,1812.46,1426.611,2.233,101.759,381.341,26.156,23.046,Manufacturing
320017,CALADRIUS BIOSCIENCES INC,44.58,7.126,-16.168,0,0.165,0,0,Manufacturing
35527,FIFTH THIRD BANCORP,146069,129819,NA,NA,2379,NA,572,"Finance, Insurance, And Real Estate"
1281761,REGIONS FINANCIAL CORP,125688,110598,NA,NA,2045,NA,387,"Finance, Insurance, And Real Estate"
36146,TRUSTMARK CORP,13286.46,11695.007,NA,NA,178.668,NA,22.269,"Finance, Insurance, And Real Estate"
36104,U S BANCORP,467374,415717,NA,NA,2457,NA,1554,"Finance, Insurance, And Real Estate"
36966,FIRST HORIZON NATIONAL CORP,40832.258,36046.878,NA,NA,494.041,NA,157.602,"Finance, Insurance, And Real Estate"
37472,FLEXSTEEL INDUSTRIES INC,284.293,42.595,25.126,NA,90.725,0,7.46,Manufacturing
37634,FLORIDA POWER & LIGHT CO,53484,32470,NA,NA,41499,NA,539,"Transportation, Communications, Electric, Gas, And Sanitary Services"
37637,DUKE ENERGY FLORIDA INC,18801,12706,NA,NA,13824,NA,101,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1128928,FLOWERS FOODS INC,2845.537,1587.27,NA,NA,743.847,0,40.001,Manufacturing
1124198,FLUOR CORP,8913.637,5795.587,-194.352,676.104,1013.732,113.988,188.794,Construction
37996,FORD MOTOR CO,256540,220474,2051,2294,65297,690,650,Manufacturing
352825,FOSTER (LB) CO,383.249,261.13,-34.608,7.897,86.857,3.675,4.457,Wholesale Trade
38725,FRANKLIN ELECTRIC CO INC,1182.365,446.02,54.7,65.707,207.064,14.29,14.89,Manufacturing
38777,FRANKLIN RESOURCES INC,14383.5,3132,1458.1,757.1,535,141.1,1472.5,"Finance, Insurance, And Real Estate"
40211,GATX CORP,7616.7,5828.6,108.9,86.2,6583.8,17.5,34.1,"Transportation, Communications, Electric, Gas, And Sanitary Services"
354190,ARTHUR J GALLAGHER & CO,16334,11764.3,337.6,141.8,436.9,60.7,-196.5,"Finance, Insurance, And Real Estate"
39899,TEGNA INC,5276.842,3935.918,508.707,0,375.215,0,107.367,"Transportation, Communications, Electric, Gas, And Sanitary Services"
39911,GAP INC,8049,4496,1183,139,2912,49,319,Retail Trade
40888,AEROJET ROCKETDYNE HOLDINGS,2490.1,2068.8,NA,NA,399.7,0,51.3,Manufacturing
40533,GENERAL DYNAMICS CORP,45408,33676,NA,NA,4348,95,727,Manufacturing
40545,GENERAL ELECTRIC CO,309129,257266,-10198,-9936,50749,1859,583,Public Administration
40704,GENERAL MILLS INC,30111.2,22191.8,NA,NA,3787.2,NA,367.8,Manufacturing
40729,ALLY FINANCIAL INC,178869,165601,NA,NA,8981,5,359,"Finance, Insurance, And Real Estate"
1467858,GENERAL MOTORS CO,227339,184562,4433,1953,82317,577,474,Manufacturing
88205,SPX CORP,2057.5,1642.6,69.6,10,184.2,-3.2,1.4,Manufacturing
355811,GENTEX CORP,2085.434,223.682,522.047,NA,498.474,1.777,84.164,Manufacturing
41091,GEORGIA POWER,40365,26042,NA,NA,30962,NA,214,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1052752,GETTY REALTY CORP,1159.175,578.011,NA,NA,NA,0,0,"Finance, Insurance, And Real Estate"
41719,GLATFELTER,1339.754,800.856,-59.264,66.539,556.044,14.985,7.723,Manufacturing
42316,GOLDFIELD CORP,112.548,52.943,6.825,0,53.607,0,1.797,Construction
42682,GORMAN-RUPP CO,368.282,75.15,45.271,5.045,113.493,1.179,10.337,Manufacturing
1498542,COLE REAL ESTATE INCM STRTGY,885.857,396.865,5.195,0,0,0,0,"Finance, Insurance, And Real Estate"
1045309,GRACE (W R) & CO,3565.3,3228.3,82.2,162.7,1011.7,49.9,78.1,Manufacturing
42888,GRACO INC,1472.741,720.868,310.999,99.767,229.295,23.118,69.712,Manufacturing
716314,GRAHAM CORP,156.27,57.304,-0.256,0.111,17.071,0,0.163,Manufacturing
277135,GRAINGER (W W) INC,5873,3780,1163,-82,1352,47,258,Wholesale Trade
43920,GREIF INC  -CL A,3194.8,1996.5,197.5,102.3,1191.9,36.1,73.3,Manufacturing
1273931,MONEYGRAM INTERNATIONAL INC,4296.1,4564.9,-49.6,38.7,193.9,-4,13.1,"Finance, Insurance, And Real Estate"
45012,HALLIBURTON CO,25982,16438,1097,717,8961,428,157,Mining
