CIK,CompanyName,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Category
949961,INCOME OPPORTUNITY RLTY INVS,96.123,0.026,NA,NA,0,0,2.183,"Finance, Insurance, And Real Estate"
1548309,SEARS HOMETOWN & OUTLET STR,343.771,223.815,-54.629,1.329,27.731,-0.136,0.164,Retail Trade
1410428,XPRESSPA GROUP INC,30.584,17.449,-36.506,0.597,11.795,0.022,-0.278,Services
18349,SYNOVUS FINANCIAL CORP,32669.192,29535.59,NA,NA,434.307,NA,118.878,"Finance, Insurance, And Real Estate"
790526,RADNET INC,1109.33,909.077,NA,NA,345.729,0,0.394,Services
807882,JACK IN THE BOX INC,823.397,1415.096,NA,NA,419.669,0,81.728,Retail Trade
765880,HCP INC,12718.553,6205.962,NA,NA,NA,0.084,-17.854,"Finance, Insurance, And Real Estate"
809933,ECOLOGY AND ENVIRONMENT INC,52.829,16.382,-0.948,1.102,3.87,0.228,0.258,Services
761648,CEDAR REALTY TRUST INC,1222.901,664.185,NA,NA,0.359,0,0,"Finance, Insurance, And Real Estate"
810136,PHOTRONICS INC,1110.009,205.44,-9.859,78.43,571.781,11.584,7.335,Manufacturing
80661,PROGRESSIVE CORP-OHIO,46575,35538.7,NA,NA,1131.7,0,542.6,"Finance, Insurance, And Real Estate"
84246,RLI CORP,3105.065,2298.223,67.581,NA,54.692,NA,3.402,"Finance, Insurance, And Real Estate"
807707,VOXX INTERNATIONAL CORP,508.811,113.71,-49.984,-8.979,60.493,1.392,-6.131,Manufacturing
813298,DESTINATION XL GROUP INC,226.076,167.436,NA,NA,92.525,0.008,-0.05,Retail Trade
813672,CADENCE DESIGN SYSTEMS INC,2468.654,1180.253,58.963,317.427,252.63,42.657,30.613,Services
1081316,BERKSHIRE HATHAWAY ENERGY CO,92189,62466,1425,540,68595,104,-583,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1098296,MIDAMERICAN FUNDING LLC,19202,11873,NA,NA,16171,NA,-262,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1705873,BERRY PETROLEUM,1692.263,685.817,NA,NA,1442.708,0,43.035,Mining
812796,SOLIGENIX INC,10.492,4.212,NA,NA,0.02,0,0,Manufacturing
815097,CARNIVAL CORP/PLC (USA),42401,17958,NA,NA,35337,NA,55,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1254699,QVC INC,14856,8027,1062,200,1165,84,334,Retail Trade
783280,DUKE REALTY CORP,7804.024,3090.781,NA,NA,NA,NA,8.828,"Finance, Insurance, And Real Estate"
805022,BUCKEYE PARTNERS LP,9355.55,5224.38,NA,NA,6914.796,NA,3.74,"Transportation, Communications, Electric, Gas, And Sanitary Services"
814585,MBIA INC,8076,6944,-287,-9,NA,0,0,"Finance, Insurance, And Real Estate"
769520,MIDDLEBY CORP,4549.781,2884.578,328.87,94.643,314.569,23.967,106.361,Manufacturing
803649,EQUITY COMMONWEALTH,3530.772,346.774,NA,NA,NA,0,3.156,"Finance, Insurance, And Real Estate"
798783,UNIVERSAL HEALTH RLTY INCOME,483.756,285.146,NA,NA,0,0,0,"Finance, Insurance, And Real Estate"
816284,CELGENE CORP,35480,29319,-600,5432,1367,118,786,Manufacturing
815094,ABIOMED INC,1054.346,117.456,223.34,40.02,145.005,11.525,4.344,Manufacturing
816956,CONMED CORP,1369.138,706.868,24.32,26.333,113.245,8.036,9.799,Manufacturing
1023844,NATIONAL HOLDINGS CORP,68.449,21.514,NA,NA,2.671,0,3.188,"Finance, Insurance, And Real Estate"
808461,GCI LIBERTY INC,8660.822,4354.132,NA,NA,1184.606,0,-183.307,"Transportation, Communications, Electric, Gas, And Sanitary Services"
813762,ICAHN ENTERPRISES LP,23396,10491,290,-12,4703,4,-4,Public Administration
811532,CEDAR FAIR  -LP,2024.183,1991.767,185.749,-24.353,1599.438,NA,34.743,Services
1518587,ALERIS CORP,2779.4,2806.5,-147.2,74.1,1395,16.5,18.5,Manufacturing
813828,CBS CORP,21859,19055,1743,546,1209,41,273,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1555280,ZOETIS INC,10777,8592,937,753,1658,148,266,Manufacturing
819220,MULTI-COLOR CORP,2652.472,2023.769,29.964,-46.299,528.077,15.069,12.332,Manufacturing
814547,FAIR ISAAC CORP,1255.079,991.342,175.01,13,48.837,9.559,45.595,Services
820081,CAMBREX CORP,1223.428,569.701,66.495,43.31,360.528,8.247,16.596,Manufacturing
1549922,SUMMIT MIDSTREAM PARTNERS LP,3020.562,1799.338,NA,NA,1963.713,0,0.033,Mining
933136,MR COOPER GROUP INC,16973,15028,NA,NA,96,0,-973,"Finance, Insurance, And Real Estate"
788329,JOHNSON OUTDOORS INC  -CL A,395.936,116.739,57.888,10.218,55.934,1.678,27.437,Manufacturing
201533,CONSUMERS ENERGY CO,22025,15105,NA,NA,17761,NA,142,"Transportation, Communications, Electric, Gas, And Sanitary Services"
59440,VECTOR GROUP LTD,1549.504,2096.87,NA,NA,86.736,0,21.552,"Finance, Insurance, And Real Estate"
316709,SCHWAB (CHARLES) CORP,296482,275812,NA,NA,1769,0,1055,"Finance, Insurance, And Real Estate"
822818,CLEAN HARBORS INC,3738.321,2568.565,115.07,-20.588,1561.978,4.781,28.846,"Transportation, Communications, Electric, Gas, And Sanitary Services"
819793,ALBANY INTL CORP  -CL A,1417.992,809.712,41.875,73.372,462.055,21.557,32.228,Manufacturing
815917,JONES FINANCIAL COS  -LP,15815,15815,NA,NA,555,0,0,"Finance, Insurance, And Real Estate"
768411,CYBEROPTICS CORP,69.7,13.489,2.288,1.291,2.861,0.35,0.752,Manufacturing
1518339,LG&E AND KU ENERGY LLC,15412,10689,NA,NA,12614,NA,129,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1465872,VANTAGE DRILLING INTL,1129.562,1194.255,0,-124.942,787.303,14.784,16.526,Mining
1056087,MCCLATCHY CO  -CL A,1295.301,1636.966,NA,NA,233.692,0,-2.17,Manufacturing
700564,FULTON FINANCIAL CORP,20682.152,18434.579,NA,NA,234.529,NA,24.577,"Finance, Insurance, And Real Estate"
815556,FASTENAL CO,3321.5,1018.8,905,82,924.8,24.1,235.1,Wholesale Trade
743316,MAXIM INTEGRATED PRODUCTS,4451.561,2520.621,149.056,675.829,579.364,11.45,357.567,Manufacturing
1180262,HERBALIFE NUTRITION LTD,2789.8,3513.2,-2,466.2,360,150.7,167.6,Wholesale Trade
820313,AMPHENOL CORP,10044.9,5980.7,194.1,1394.3,875.8,345.7,371.5,Manufacturing
3116,AKORN INC,1495.257,1051.391,-428.299,-9.883,334.853,0.032,-36.273,Manufacturing
822663,INTER PARFUMS INC,799.167,213.421,15.162,80.697,9.839,24.175,26.144,Manufacturing
931015,POLARIS INDUSTRIES INC,4124.915,3251.063,344.728,84.521,843.122,27.539,93.992,Manufacturing
1270073,INTERCEPT PHARMA INC,509.167,490.037,-72.655,-236.587,10.411,0,0,Manufacturing
1038357,PIONEER NATURAL RESOURCES CO,17903,5792,1251,0,14839,0,276,Mining
821130,US CELLULAR CORP,7274,3196,NA,NA,2202,0,51,"Transportation, Communications, Electric, Gas, And Sanitary Services"
871763,MANPOWERGROUP,8519.8,5821.3,203.7,551,152.6,181.9,198,Services
720858,INVESTORS TITLE CO,244.268,68.629,NA,NA,10.304,0,5.21,"Finance, Insurance, And Real Estate"
823094,SOTHEBY'S,2689.088,2247.594,5.355,127.324,386.736,44.536,27.652,Services
789570,MGM RESORTS INTERNATIONAL,30210.706,19638.665,660.832,-26.826,20729.888,2.037,50.112,Services
8192,ATLANTIC CITY ELECTRIC CO,3699,2573,NA,NA,2966,NA,12,"Transportation, Communications, Electric, Gas, And Sanitary Services"
823768,WASTE MANAGEMENT INC,22650,16374,2235,141,11942,40,453,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1571996,DELL TECHNOLOGIES INC,111820,111566,-4645,2284,5259,616,-180,Manufacturing
1527613,NUZEE INC,2.983,0.571,NA,NA,0.674,0,0,Manufacturing
832428,EW SCRIPPS  -CL A,2130.061,1203.896,NA,NA,237.927,0.001,18.098,"Transportation, Communications, Electric, Gas, And Sanitary Services"
818686,TEVA PHARMACEUTICALS,60683,44889,1022,-3618,6868,NA,-195,Manufacturing
1549966,SILVERCREST ASSET MGT,133.363,50.964,NA,NA,3.436,0,5.458,"Finance, Insurance, And Real Estate"
820318,II-VI INC,1761.661,737.35,-15.207,137.401,524.89,32.147,34.192,Manufacturing
1333274,MERCER INTL INC,1975.735,1394.306,-69.202,246.472,1029.257,NA,48.681,Manufacturing
107832,WISCONSIN POWER & LIGHT,6152.5,4003,NA,NA,5287.3,NA,36.2,"Transportation, Communications, Electric, Gas, And Sanitary Services"
831259,FREEPORT-MCMORAN INC,42216,24324,390,3502,28010,1445,991,Mining
800240,OFFICE DEPOT INC,6166,4040,138,20,763,9,59,Retail Trade
833079,MERITAGE HOMES CORP,3365.479,1644.724,NA,NA,54.596,0,55.922,Construction
1026655,CORE MOLDING TECHNOLOGIES,201.198,102.269,NA,NA,80.657,1.023,-0.664,Manufacturing
11544,BERKLEY (W R) CORP,24895.977,19416.179,755.094,57,416.372,13.963,163.028,"Finance, Insurance, And Real Estate"
74260,OLD REPUBLIC INTL CORP,19327.1,14180.9,NA,NA,NA,NA,67.6,"Finance, Insurance, And Real Estate"
835011,MGP INGREDIENTS INC,277.892,76.451,NA,NA,120.788,0,11.696,Manufacturing
92103,SOUTHERN CALIFORNIA EDISON,56574,42789,NA,NA,41269,NA,-696,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1090012,DEVON ENERGY CORP,19566,10380,NA,NA,13935,-53,156,Mining
836157,LINDSAY CORP,500.256,223.39,25.116,8.737,57.248,3.266,13.576,Manufacturing
920148,LABORATORY CP OF AMER HLDGS,16185.3,9194.8,937.7,330.6,1784.7,64.3,384.4,Services
1327811,WORKDAY INC,5520.746,3562.304,-263.505,-160.247,796.907,6.596,-5.494,Services
928022,CALLON PETROLEUM CO/DE,3979.173,1533.965,NA,NA,3740.759,0,8.11,Mining
813920,CEC ENTERTAINMENT INC,1666.165,1423.594,-28.731,3.249,539.185,0.795,-5.021,Retail Trade
1055160,MFA FINANCIAL INC,12420.327,9004.226,NA,NA,NA,0,0,"Finance, Insurance, And Real Estate"
842183,RPT REALTY,1928.44,1096.897,NA,NA,NA,0,0.198,"Finance, Insurance, And Real Estate"
1095651,ISTAR INC,5014.277,3950.162,NA,NA,3.85,NA,0.815,"Finance, Insurance, And Real Estate"
19612,CHEMICAL FINANCIAL CORP,21498.341,18662.081,NA,NA,123.442,NA,41.901,"Finance, Insurance, And Real Estate"
1538849,CROSSAMERICA PARTNERS LP,866.922,755.989,2.513,0,647.413,0,-2.733,Wholesale Trade
1035002,VALERO ENERGY CORP,50155,27424,3168,1064,28848,207,879,Manufacturing
832101,IDEX CORP,3473.857,1479.217,357.585,171.354,281.22,46.862,118.366,Manufacturing
783005,EMMIS COMMUNICATIONS CP-CL A,237.746,137.379,32.246,0,23.477,0,6.167,"Transportation, Communications, Electric, Gas, And Sanitary Services"
89439,MUELLER INDUSTRIES,1369.549,806.289,105.455,44.962,370.633,9.65,30.952,Manufacturing
814184,TCF FINANCIAL CORP,23699.612,21143.352,NA,NA,427.534,NA,86.096,"Finance, Insurance, And Real Estate"
1091748,ARGO GROUP INTL HOLDINGS LTD,9558.2,7811.5,26,41.7,154.8,16.7,4.1,"Finance, Insurance, And Real Estate"
79282,BROWN & BROWN INC,6688.668,3688.1,NA,NA,100.395,0.409,118.207,"Finance, Insurance, And Real Estate"
81020,DUKE ENERGY INDIANA INC,12535,8196,NA,NA,10529,NA,128,"Transportation, Communications, Electric, Gas, And Sanitary Services"
850429,TREDEGAR CORP,707.373,352.516,17.663,18.705,228.369,2.09,11.526,Manufacturing
1293310,HUMANIGEN INC,1.37,9.48,NA,NA,0,0,0,Manufacturing
832988,SIGNET JEWELERS LTD,4420.1,2603.2,-1135.8,333.2,800.5,-39.4,-145.2,Retail Trade
827809,NOVELION THERAPEUTICS INC,341.715,430.575,-12.588,-94.14,1.585,0.84,1.599,Manufacturing
849145,HERITAGE GLOBAL INC,20.631,13.031,NA,NA,0.175,NA,0.27,"Finance, Insurance, And Real Estate"
849399,SYMANTEC CORP,15938,10200,-106,214,790,74,92,Services
1132105,SPORTSMANS WAREHOUSE HLDGS,388.897,310.237,NA,NA,92.084,0,7.063,Retail Trade
1442236,QUEST RESOURCE HOLDING CORP,81.587,21.045,NA,NA,0.615,0,0,"Transportation, Communications, Electric, Gas, And Sanitary Services"
1512931,MONROE CAPITAL CORP,579.829,321.062,NA,NA,0,0,0,"Finance, Insurance, And Real Estate"
1551152,ABBVIE INC,59352,67798,-4274,9471,2883,434,-490,Manufacturing
1517302,ARTISAN PARTNERS ASSET MGMT,805.014,630.178,NA,NA,29.138,0.495,47.598,"Finance, Insurance, And Real Estate"
1553023,CYRUSONE INC,5592.5,3366.5,NA,NA,18.4,0,0.6,"Finance, Insurance, And Real Estate"
1533615,GLOBAL MEDICAL REIT,636.099,336.349,NA,NA,0,0,0,"Finance, Insurance, And Real Estate"
851205,COGNEX CORP,1289.667,154.404,39.042,195.532,91.396,6.307,15.307,Manufacturing
1378946,PEOPLE'S UNITED FINL INC,47877.3,41343.4,NA,NA,456.3,NA,108.2,"Finance, Insurance, And Real Estate"
